Demographics_id,Sex,Education,Age,Income
1,0,4,9,3
2,0,6,7,1
3,0,4,9,8
4,0,3,11,6
5,0,5,11,4
6,1,6,10,8
7,0,6,9,7
8,0,4,11,4
9,0,5,9,1
10,1,4,8,3
11,1,6,13,8
12,0,5,10,1
13,0,5,7,7
14,0,4,11,6
15,0,6,4,2
16,0,6,6,8
17,0,4,10,3
18,1,5,7,6
19,0,6,2,7
20,1,6,4,8
21,0,4,12,4
22,0,2,13,3
23,1,5,5,5
24,0,5,13,4
25,0,4,9,6
26,0,6,5,8
27,1,6,10,5
28,1,2,12,4
29,0,4,8,7
30,1,6,12,8
31,0,5,9,4
32,1,3,13,3
33,0,4,6,8
34,1,6,11,2
35,0,3,12,3
36,0,4,9,4
37,1,4,8,3
38,0,5,12,7
39,1,5,4,3
40,1,3,9,1
41,0,6,4,7
42,0,4,13,4
43,0,4,7,3
44,0,6,9,8
45,0,5,8,8
46,0,6,8,3
47,0,5,7,2
48,1,4,10,7
49,1,5,10,6
50,0,4,11,2
51,0,4,9,1
52,0,3,7,3
53,0,4,10,5
54,0,5,10,6
55,0,6,4,8
56,1,6,11,8
57,0,6,6,8
58,0,6,10,8
59,1,6,11,6
60,0,4,7,5
61,0,4,11,4
62,0,4,11,2
63,0,6,9,5
64,0,5,7,8
65,0,4,10,3
66,1,5,11,6
67,1,5,8,7
68,0,4,13,4
69,0,3,10,2
70,0,5,7,3
71,1,5,12,5
72,1,6,7,8
73,0,4,7,3
74,0,5,7,7
75,1,5,1,4
76,1,5,6,6
77,1,5,8,8
78,0,6,12,2
79,1,6,11,3
80,1,4,8,8
81,1,6,7,8
82,1,4,7,7
83,1,4,13,4
84,0,2,13,2
85,0,4,10,7
86,0,6,9,8
87,0,5,1,8
88,1,4,8,8
89,1,6,5,8
90,1,5,13,6
91,0,5,10,8
92,0,6,3,8
93,1,5,11,7
94,0,5,11,2
95,0,6,5,7
96,0,2,9,3
97,0,5,3,3
98,0,4,9,6
99,0,4,11,3
100,0,4,7,8
101,0,6,9,8
102,1,6,12,5
103,1,6,9,6
104,1,6,9,7
105,0,6,6,2
106,0,6,10,6
107,0,5,8,2
108,1,4,7,5
109,0,6,10,7
110,0,5,7,3
111,0,5,4,6
112,0,6,13,4
113,1,4,9,6
114,1,6,8,8
115,0,6,8,6
116,1,5,3,6
117,0,6,11,7
118,1,4,6,7
119,0,5,7,7
120,1,6,7,6
121,0,6,7,8
122,0,6,7,7
123,0,4,10,4
124,1,4,10,8
125,1,5,5,7
126,0,3,6,7
127,1,5,12,5
